region,country,Female,Male
Asia,B-S-J-G (China),539.1954962930355,529.9922914469945
Asia,Japan,528.8198746876318,543.8435436330794
Asia,Korea,501.0305869224922,522.9346880153183
Australia,Australia,524.6295511815232,585.6325324419729
Australia,New Zealand,495.1877727465665,466.57868931273265
Europe,France,469.8695561337605,465.6177545683773
Europe,Germany,478.2837405928059,503.8955674880858
Europe,Italy,482.4860497878932,480.56414057154774
Middle-East,Israel,405.9182877408032,450.79585575172047
Middle-East,Jordan,420.87924348558147,373.3822624914058
Middle-East,Lebanon,322.9812515793756,433.86787152077216
N. America,Canada,486.59598765760944,533.1836552223208
N. America,Mexico,404.7916074736506,423.6172680959131
N. America,United States,472.35020659631135,471.1387181213543
S. America,Brazil,358.34457377433114,396.140119238827
S. America,Colombia,378.8499503621016,405.37649690255665
S. America,Uruguay,NA,484.3051272253295
